 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
            32 ┊     0.04% ┊ import env::bigIntGetUnsignedArgument
            32 ┊     0.04% ┊ elrond_wasm::types::general::boxed_bytes::BoxedBytes::allocate::hda289ad90c2a2c14
            31 ┊     0.03% ┊ import env::bigIntUnsignedByteLength
            31 ┊     0.03% ┊ getNumUsers
            31 ┊     0.03% ┊ getQuorum
            31 ┊     0.03% ┊ getNumBoardMembers
            31 ┊     0.03% ┊ getNumProposers
            31 ┊     0.03% ┊ getActionLastIndex
            30 ┊     0.03% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h769e7d5891e73093
            29 ┊     0.03% ┊ import env::smallIntFinishUnsigned
            29 ┊     0.03% ┊ import env::bigIntGetUnsignedBytes
            29 ┊     0.03% ┊ import env::bigIntSetUnsignedBytes
            29 ┊     0.03% ┊ export "getActionValidSignerCount"
            29 ┊     0.03% ┊ elrond_wasm::io::dyn_arg_input::DynArgInput::assert_no_more_args::hc0d94749cd615fe0
            28 ┊     0.03% ┊ export "getPendingActionFullInfo"
            28 ┊     0.03% ┊ core::ptr::drop_in_place<alloc::vec::Vec<elrond_wasm::types::general::boxed_bytes::BoxedBytes>>::h2bc477db1b938552
            27 ┊     0.03% ┊ import env::smallIntFinishSigned
            27 ┊     0.03% ┊ multisig::Multisig::quorum_reached::hf9335c6c37c96d18
            26 ┊     0.03% ┊ <elrond_wasm::types::general::h256::H256 as elrond_codec::nested_de::NestedDecode>::dep_decode_or_exit::hfaa7e5efa7b148eb
            26 ┊     0.03% ┊ core::ptr::drop_in_place<elrond_wasm::types::io::sc_result::SCResult<usize>>::h1e4b08c2eb1b162c
            25 ┊     0.03% ┊ export "proposeAddBoardMember"
            24 ┊     0.03% ┊ import env::storageLoadLength
            24 ┊     0.03% ┊ import env::getArgumentLength
            24 ┊     0.03% ┊ import env::getOriginalTxHash
            24 ┊     0.03% ┊ export "getActionSignerCount"
            24 ┊     0.03% ┊ <alloc::alloc::Global as core::alloc::Allocator>::deallocate::h1fe99aece42e7c59.94
            24 ┊     0.03% ┊ <alloc::alloc::Global as core::alloc::Allocator>::deallocate::h1fe99aece42e7c59.130
            23 ┊     0.03% ┊ export "proposeChangeQuorum"
            23 ┊     0.03% ┊ core::ptr::drop_in_place<elrond_wasm::types::interaction::arg_buffer::ArgBuffer>::h5134475ceb58e211
            23 ┊     0.03% ┊ core::ptr::drop_in_place<elrond_wasm::types::io::sc_result::SCResult<()>>::h455a1a938e22713b
            22 ┊     0.02% ┊ import env::getNumArguments
            22 ┊     0.02% ┊ export "getNumBoardMembers"
            22 ┊     0.02% ┊ export "getActionLastIndex"
            22 ┊     0.02% ┊ export "proposeAddProposer"
            22 ┊     0.02% ┊ export "getAllBoardMembers"
            22 ┊     0.02% ┊ core::ptr::drop_in_place<alloc::boxed::Box<[u8]>>::h5259a42688e63f23
            22 ┊     0.02% ┊ <u8 as elrond_codec::top_ser::TopEncode>::top_encode_or_exit::h0023229d37b6777b
            22 ┊     0.02% ┊ <elrond_wasm_module_users::UsersModuleImpl<T,BigInt,BigUint> as elrond_wasm_module_users::UsersModule<T,BigInt,BigUint>>::set_num_users::hcc4d6967a5bc8802
            22 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::set_quorum::h51b9d40ff0fa2ba9
            22 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::set_num_board_members::h26822868df5e29a6
            22 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as elrond_wasm::api::contract_api::ContractHookApi<BigInt,BigUint>>::get_caller::ha44b6a9a95fee075
            22 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::set_num_proposers::h240f04f69961ad28
            22 ┊     0.02% ┊ elrond_wasm::io::macro_helpers::load_single_arg::h86d7aa1fc1462f86
            21 ┊     0.02% ┊ import env::checkNoPayment
            21 ┊     0.02% ┊ import env::createContract
            21 ┊     0.02% ┊ export "proposeRemoveUser"
            20 ┊     0.02% ┊ import env::transferValue
            20 ┊     0.02% ┊ export "updateUserAddress"
            20 ┊     0.02% ┊ export "getActionSigners"
            20 ┊     0.02% ┊ <elrond_wasm::storage::storage_get::StorageGetInput<SRA> as elrond_codec::top_de_input::TopDecodeInput>::byte_len::hc0f3ba22db7b55ed
            20 ┊     0.02% ┊ elrond_wasm::io::macro_helpers::load_single_arg::hf052f0cad813683e
            19 ┊     0.02% ┊ import env::storageStore
            19 ┊     0.02% ┊ export "getNumProposers"
            19 ┊     0.02% ┊ export "proposeSendEgld"
            19 ┊     0.02% ┊ export "proposeSCDeploy"
            19 ┊     0.02% ┊ export "getAllProposers"
            19 ┊     0.02% ┊ rust_oom
            19 ┊     0.02% ┊ alloc::raw_vec::capacity_overflow::hd34a39b2a20b48aa
            19 ┊     0.02% ┊ rust_begin_unwind
            19 ┊     0.02% ┊ <&mut W as core::fmt::Write>::write_str::hc9b925d7d444c8c6
            19 ┊     0.02% ┊ <elrond_wasm::types::general::h256::H256 as elrond_codec::nested_ser::NestedEncode>::dep_encode::h60996b56663bd523
            19 ┊     0.02% ┊ elrond_wasm::io::macro_helpers::load_single_arg_exit::h11648de31c75aace
            19 ┊     0.02% ┊ elrond_wasm_node::error_hook::signal_error::hf7ddbcf3615869b8.99
            19 ┊     0.02% ┊ <elrond_wasm::types::general::h256::H256 as elrond_codec::nested_ser::NestedEncode>::dep_encode_or_exit::h2c0cf01ca23f67c9
            19 ┊     0.02% ┊ elrond_wasm::io::macro_helpers::load_single_arg_exit::h39c03530e426fe76
            19 ┊     0.02% ┊ custom section '.debug_pubnames' headers
            18 ┊     0.02% ┊ import env::storageLoad
            18 ┊     0.02% ┊ import env::getArgument
            18 ┊     0.02% ┊ import env::signalError
            18 ┊     0.02% ┊ __rust_realloc
            18 ┊     0.02% ┊ <elrond_wasm_module_users::UsersModuleImpl<T,BigInt,BigUint> as elrond_wasm_module_users::UsersModule<T,BigInt,BigUint>>::get_num_users::h40333d4bbb63f0d4
            18 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_action_last_index::h5bf33677737805a9
            18 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_num_board_members::h9bf4191af8b65c00
            18 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_num_proposers::h0850d05de7a14cee
            18 ┊     0.02% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_quorum::he63cc77af8bb028c
            18 ┊     0.02% ┊ custom section '.debug_pubtypes' headers
            18 ┊     0.02% ┊ custom section '.debug_aranges' headers
            17 ┊     0.02% ┊ import env::getGasLeft
            17 ┊     0.02% ┊ export "getUserAddress"
            17 ┊     0.02% ┊ export "getActionData"
            17 ┊     0.02% ┊ export "proposeSCCall"
            17 ┊     0.02% ┊ export "quorumReached"
            17 ┊     0.02% ┊ export "performAction"
            17 ┊     0.02% ┊ export "discardAction"
            17 ┊     0.02% ┊ <T as elrond_wasm::io::finish::EndpointResult<FA>>::finish::hb703bea102662a30
            17 ┊     0.02% ┊ <u8 as elrond_codec::top_ser::TopEncode>::top_encode_or_exit::hff75775551949a6e
            17 ┊     0.02% ┊ custom section '.debug_ranges' headers
            17 ┊     0.02% ┊ custom section '.debug_abbrev' headers
            16 ┊     0.02% ┊ import env::asyncCall
            16 ┊     0.02% ┊ import env::bigIntNew
            16 ┊     0.02% ┊ import env::getCaller
            16 ┊     0.02% ┊ __rust_dealloc
            16 ┊     0.02% ┊ __rg_dealloc
            16 ┊     0.02% ┊ core::ptr::drop_in_place<elrond_wasm::types::general::h256_address::Address>::hd2ee162e58353c1c
            16 ┊     0.02% ┊ core::ptr::drop_in_place<elrond_wasm::types::general::h256_address::Address>::h02faa0e2fa36ac45
            15 ┊     0.02% ┊ core::ops::function::FnOnce::call_once::h09477092a2821c4a
            15 ┊     0.02% ┊ elrond_wasm_node::api::error_api_node::<impl elrond_wasm::api::error_api::ErrorApi for elrond_wasm_node::ArwenApiImpl>::signal_error::h5bd97b382c5647f7
            15 ┊     0.02% ┊ elrond_wasm_node::error_hook::signal_error::hf7ddbcf3615869b8
            15 ┊     0.02% ┊ elrond_wasm_node::error_hook::signal_error::hf7ddbcf3615869b8.108
